000000	ADD	100000
001000	ADDI	000000
001001	ADDIU	000000
000000	ADDU	100001
011100	CLZ	100000
011100	CLO	100001
001111	LUI	000000
000000	SUB	100010
000000	SUBU	100011
011111	SEB	100000
011111	SEH	100000
000000	AND	100100
001100	ANDI	000000
000000	NOR	100111
011111	WSBH	100000
000000	OR	100101
001101	ORI	000000
000000	XOR	100110
001110	XORI	000000
011111	EXT	000000
011111	INS	000100 
000000	DIV	011010
000000	DIVU	011011
011100	MADD	000000
011100	MADDU	000001
011100	MSUB	000100
011100	MSUBU	000101
011100	MUL	000010
000000	MULT	011000
000000	MULTU	011001
000000	SLL	000000
000000	SLLV	000100
000000	SRL	000010
000000	SRA	000011
000000	SRAV	000111
000000	SRLV	000110
000000	ROTR	000010
000000	ROTRV	000110
000000	SLT	101010
001010	SLTI	000000
001011	SLTIU	000000
000000	SLTU	101011
000000	MOVN	001011
000000	MOVZ	001010
000000	MFHI	010000
000000	MFLO	010010
000000	MTHI	010001
000000	MTLO	010011
000100	BEQ	000000
000111	BGTZ	000000
000101	BNE	000000
000001	BLTZ	000000
000010	J	000000
000000	JR	001000
000011	JAL	000000
000000	JALR	001001
100000	LB	000000
100011	LW	000000
100001	LH	000000
101000	SB	000000
101001	SH	000000
101011	SW	000000
